,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,465.0,472.040009,461.019989,467.920013,466.34024,274300
1,2021-11-02,470.399994,474.75,468.079987,470.929993,469.340057,243000
2,2021-11-03,470.380005,476.640015,468.690002,474.440002,472.838196,274700
3,2021-11-04,475.48999,484.029999,474.01001,479.829987,478.209991,269600
4,2021-11-05,479.290009,483.51001,472.26001,472.929993,472.929993,219000
5,2021-11-08,475.480011,475.480011,468.329987,474.940002,474.940002,191900
6,2021-11-09,474.5,483.160004,474.5,482.130005,482.130005,275100
7,2021-11-10,482.929993,484.0,477.679993,481.01001,481.01001,124000
8,2021-11-11,480.480011,484.769989,476.890015,484.609985,484.609985,178000
9,2021-11-12,486.480011,491.269989,483.73999,489.829987,489.829987,120100
10,2021-11-15,490.329987,491.380005,484.25,484.420013,484.420013,189600
11,2021-11-16,485.470001,494.220001,485.470001,489.920013,489.920013,147100
12,2021-11-17,490.0,490.0,483.25,486.579987,486.579987,151000
13,2021-11-18,488.100006,488.100006,481.019989,482.269989,482.269989,161500
14,2021-11-19,483.369995,485.470001,479.839996,482.619995,482.619995,213600
