,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,31.42,32.369999,31.42,32.349998,31.776884,736200
1,2021-11-02,32.209999,32.59,31.940001,32.59,32.012634,711600
2,2021-11-03,32.060001,33.689999,31.940001,33.34,32.749348,646800
3,2021-11-04,34.130001,34.630001,33.209999,33.580002,32.985096,950200
4,2021-11-05,34.34,34.799999,34.139999,34.32,33.711983,765600
5,2021-11-08,34.639999,35.439999,34.25,34.5,33.888798,516300
6,2021-11-09,34.5,34.84,33.759998,34.82,34.203129,542000
7,2021-11-10,34.549999,34.830002,33.040001,33.349998,32.759167,603900
8,2021-11-11,33.130001,34.150002,33.130001,33.91,33.30925,482900
9,2021-11-12,33.509998,34.18,32.900002,33.209999,32.621651,508800
10,2021-11-15,32.970001,33.130001,32.209999,32.639999,32.061749,676400
11,2021-11-16,32.68,33.330002,32.07,32.580002,32.002811,986500
12,2021-11-17,31.879999,32.5,31.200001,31.32,30.765133,1210000
13,2021-11-18,28.93,30.01,25.309999,26.16,25.696548,5167500
14,2021-11-19,25.120001,25.82,24.43,24.68,24.242769,3072500
