,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,61.41,62.349998,61.27,62.16,61.595528,1580200
1,2021-11-02,62.389999,62.669998,61.66,62.529999,61.962166,1860800
2,2021-11-03,62.599998,63.380001,62.360001,63.34,62.764812,2671800
3,2021-11-04,63.400002,64.25,62.18,62.91,62.338718,2948200
4,2021-11-05,62.810001,63.060001,62.07,62.560001,61.991898,2045000
5,2021-11-08,62.5,62.540001,61.91,62.25,61.684711,1875200
6,2021-11-09,62.52,63.380001,62.380001,62.939999,62.368443,1692000
7,2021-11-10,62.919998,64.360001,62.650002,63.52,62.94318,1661800
8,2021-11-11,63.18,63.470001,62.950001,63.259998,62.685539,1147000
9,2021-11-12,63.549999,63.82,63.200001,63.220001,62.645905,1294700
10,2021-11-15,63.5,64.0,63.049999,63.91,63.329636,1128600
11,2021-11-16,64.080002,64.080002,63.34,63.349998,62.774719,1239600
12,2021-11-17,63.27,63.380001,62.759998,62.959999,62.388264,1577200
13,2021-11-18,62.939999,63.040001,61.98,62.41,61.843258,1634700
14,2021-11-19,62.720001,62.950001,61.900002,61.93,61.367619,1677200
