,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,23.07,23.309999,22.92,23.030001,22.527662,4034900
1,2021-11-02,23.040001,23.120001,22.57,22.76,22.263552,2040700
2,2021-11-03,23.0,24.440001,22.629999,24.190001,23.662359,3202200
3,2021-11-04,24.23,25.17,24.23,24.58,24.043854,3291700
4,2021-11-05,24.77,25.26,24.66,25.24,24.689457,1887000
5,2021-11-08,25.299999,25.309999,24.559999,24.57,24.034071,1829800
6,2021-11-09,24.85,25.35,24.610001,24.83,24.288399,1891200
7,2021-11-10,24.610001,25.299999,24.549999,24.969999,24.425344,1545200
8,2021-11-11,24.959999,25.139999,24.59,24.6,24.063416,1982200
9,2021-11-12,24.549999,24.57,24.280001,24.469999,23.936251,1493400
10,2021-11-15,24.530001,24.700001,24.469999,24.549999,24.014505,883400
11,2021-11-16,24.51,24.639999,24.379999,24.379999,23.848215,1784600
12,2021-11-17,24.26,24.42,24.01,24.32,23.789524,1631500
13,2021-11-18,24.32,24.540001,24.07,24.24,23.711269,1508100
14,2021-11-19,24.23,24.66,24.07,24.469999,23.936251,1969600
