,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,124.18,125.080002,122.669998,123.510002,122.640968,2072200
1,2021-11-02,123.510002,125.410004,122.0,125.18,124.299217,2097300
2,2021-11-03,125.18,127.839996,125.0,126.120003,125.232605,1693000
3,2021-11-04,121.0,121.940002,115.18,117.099998,116.276062,4434500
4,2021-11-05,117.75,118.800003,114.650002,117.160004,116.335648,2580200
5,2021-11-08,118.0,118.489998,116.379997,117.059998,116.236343,1610500
6,2021-11-09,116.309998,117.82,115.07,115.190002,114.379509,1558000
7,2021-11-10,114.080002,115.620003,113.910004,114.110001,113.307106,2113700
8,2021-11-11,114.120003,115.089996,112.769997,114.660004,113.853241,1534500
9,2021-11-12,114.639999,115.949997,114.379997,114.709999,113.902885,2372900
10,2021-11-15,115.150002,115.440002,114.43,114.800003,113.992256,1774100
11,2021-11-16,115.230003,116.660004,114.699997,115.349998,114.538376,3627700
12,2021-11-17,115.07,115.269997,113.160004,113.230003,112.433304,2592700
13,2021-11-18,113.379997,113.760002,111.489998,113.059998,112.264488,2445300
14,2021-11-19,112.779999,113.610001,111.860001,111.940002,111.152374,2084100
